thscode,time,open,high,low,close,volume,market_cap,industry,index_name
399001.SZ,2023-10-30,9759.2246,9952.4258,9759.1685,9927.9945,491233276.46,,,深证成指
399001.SZ,2023-10-31,9924.7218,9927.4466,9814.9791,9863.8035,454253176.77,,,深证成指
399001.SZ,2023-11-01,9897.9256,9901.3679,9808.396,9826.7316,407684068.19,,,深证成指
399001.SZ,2023-11-02,9842.5619,9879.2678,9733.3913,9734.7665,403065577.82,,,深证成指
399001.SZ,2023-11-03,9747.8246,9886.8632,9747.8246,9853.8894,409513448.68,,,深证成指
399001.SZ,2023-11-06,9922.4499,10080.0013,9922.4499,10071.5558,514754837.63,,,深证成指
399001.SZ,2023-11-07,10047.1409,10088.0834,10000.547,10056.4935,489682907.24,,,深证成指
399001.SZ,2023-11-08,10032.2356,10101.5529,9986.841,10052.0857,516342271.55,,,深证成指
399001.SZ,2023-11-09,10037.5567,10099.9986,10004.0555,10032.086,467089940.01,,,深证成指
399001.SZ,2023-11-10,9987.4647,9997.7848,9939.1027,9978.5418,392883741.85,,,深证成指
399001.SZ,2023-11-13,10012.8504,10033.5133,9936.708,9988.8281,423998040.68,,,深证成指
399001.SZ,2023-11-14,9988.5124,10056.8628,9963.5498,10005.5575,444452182.9,,,深证成指
399001.SZ,2023-11-15,10111.8331,10122.204,10048.4579,10077.9625,477666773.07,,,深证成指
399001.SZ,2023-11-16,10053.8049,10064.9132,9954.4008,9954.4008,426727263.32,,,深证成指
399001.SZ,2023-11-17,9924.1563,9980.3788,9914.4797,9979.6861,417396483.91,,,深证成指
399001.SZ,2023-11-20,9986.9247,10050.8336,9924.443,10022.6973,463814124.1,,,深证成指
399001.SZ,2023-11-21,10050.4765,10113.1889,9981.1142,9997.088,530720034.36,,,深证成指
399001.SZ,2023-11-22,9957.5379,9975.0941,9855.6604,9855.6604,482185377.71,,,深证成指
399001.SZ,2023-11-23,9846.6828,9938.8419,9814.1697,9933.0199,448452442.55,,,深证成指
399001.SZ,2023-11-24,9932.9731,9932.9731,9816.2753,9839.5211,448224234.31,,,深证成指
399001.SZ,2023-11-27,9829.5504,9829.5504,9736.7813,9785.5667,416126766.17,,,深证成指
399001.SZ,2023-11-28,9781.5389,9835.137,9742.0053,9833.4556,384726645.49,,,深证成指
