open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
186.12,188.5,185.4,185.95,7525486,300750.SZ,2024-09-06,宁德时代,NA,CNY
185.11,188.66,183.47,185.15,13475355,300750.SZ,2024-09-09,宁德时代,NA,CNY
185.5,185.5,181.05,181.16,15424413,300750.SZ,2024-09-10,宁德时代,NA,CNY
182.4,187.78,181.16,186.56,21197083,300750.SZ,2024-09-11,宁德时代,NA,CNY
188.0,192.16,186.71,189.35,20709986,300750.SZ,2024-09-12,宁德时代,NA,CNY
188.88,188.88,183.5,183.5,17287288,300750.SZ,2024-09-13,宁德时代,NA,CNY
183.6,187.43,183.29,186.4,11377895,300750.SZ,2024-09-18,宁德时代,NA,CNY
187.0,188.22,183.6,186.9,15769409,300750.SZ,2024-09-19,宁德时代,NA,CNY
186.9,187.9,183.68,185.6,15502703,300750.SZ,2024-09-20,宁德时代,NA,CNY
186.66,189.43,185.5,188.2,15792549,300750.SZ,2024-09-23,宁德时代,NA,CNY
191.96,198.17,188.89,197.52,35451735,300750.SZ,2024-09-24,宁德时代,NA,CNY
207.39,207.4,202.59,203.1,42010119,300750.SZ,2024-09-25,宁德时代,NA,CNY
203.7,207.33,198.93,205.51,35489346,300750.SZ,2024-09-26,宁德时代,NA,CNY
212.0,231.68,211.67,226.81,70181326,300750.SZ,2024-09-27,宁德时代,NA,CNY
233.02,255.0,232.0,251.89,91361145,300750.SZ,2024-09-30,宁德时代,NA,CNY
296.0,301.5,267.66,299.0,137646479,300750.SZ,2024-10-08,宁德时代,NA,CNY
279.9,279.99,255.0,255.0,108691594,300750.SZ,2024-10-09,宁德时代,NA,CNY
255.0,265.99,250.16,258.0,60833833,300750.SZ,2024-10-10,宁德时代,NA,CNY
255.5,255.5,237.93,241.79,47640230,300750.SZ,2024-10-11,宁德时代,NA,CNY
249.99,252.8,244.94,249.72,46759863,300750.SZ,2024-10-14,宁德时代,NA,CNY
249.81,250.84,241.13,241.22,32765334,300750.SZ,2024-10-15,宁德时代,NA,CNY
238.82,238.82,233.33,233.85,33585954,300750.SZ,2024-10-16,宁德时代,NA,CNY
234.0,238.88,230.86,231.5,26164672,300750.SZ,2024-10-17,宁德时代,NA,CNY
230.0,258.88,229.6,249.89,68013787,300750.SZ,2024-10-18,宁德时代,NA,CNY
259.0,262.53,251.75,253.36,58455809,300750.SZ,2024-10-21,宁德时代,NA,CNY
254.0,254.56,247.26,250.55,27876033,300750.SZ,2024-10-22,宁德时代,NA,CNY
247.81,254.94,246.86,249.3,32154122,300750.SZ,2024-10-23,宁德时代,NA,CNY
249.77,251.5,245.0,246.16,21465790,300750.SZ,2024-10-24,宁德时代,NA,CNY
252.34,265.0,246.3,258.88,57898551,300750.SZ,2024-10-25,宁德时代,NA,CNY
256.13,258.61,253.0,256.24,27601935,300750.SZ,2024-10-28,宁德时代,NA,CNY
256.24,257.71,251.24,251.78,26994808,300750.SZ,2024-10-29,宁德时代,NA,CNY
250.0,252.3,244.5,248.03,27134374,300750.SZ,2024-10-30,宁德时代,NA,CNY
246.99,250.5,244.0,245.98,25500279,300750.SZ,2024-10-31,宁德时代,NA,CNY
246.53,249.82,245.18,246.2,25915829,300750.SZ,2024-11-01,宁德时代,NA,CNY
244.0,254.3,244.0,251.2,24247222,300750.SZ,2024-11-04,宁德时代,NA,CNY
250.58,262.82,249.13,261.39,48482094,300750.SZ,2024-11-05,宁德时代,NA,CNY
258.99,269.5,253.5,256.5,45239310,300750.SZ,2024-11-06,宁德时代,NA,CNY
258.0,262.8,253.88,262.8,33571027,300750.SZ,2024-11-07,宁德时代,NA,CNY
269.66,272.0,257.1,257.5,40294127,300750.SZ,2024-11-08,宁德时代,NA,CNY
252.35,268.99,251.01,267.5,49153907,300750.SZ,2024-11-11,宁德时代,NA,CNY
278.28,285.2,270.98,273.02,74403008,300750.SZ,2024-11-12,宁德时代,NA,CNY
269.0,288.2,266.77,282.0,55773688,300750.SZ,2024-11-13,宁德时代,NA,CNY
283.0,284.99,274.66,275.0,42657210,300750.SZ,2024-11-14,宁德时代,NA,CNY
269.5,275.0,265.56,265.56,35198317,300750.SZ,2024-11-15,宁德时代,NA,CNY
265.56,270.95,261.0,262.92,30650010,300750.SZ,2024-11-18,宁德时代,NA,CNY
262.02,272.0,258.0,268.72,34812887,300750.SZ,2024-11-19,宁德时代,NA,CNY
266.95,269.9,264.6,267.55,22708778,300750.SZ,2024-11-20,宁德时代,NA,CNY
265.66,271.43,263.66,268.26,20550827,300750.SZ,2024-11-21,宁德时代,NA,CNY
267.93,269.0,258.88,259.1,22555101,300750.SZ,2024-11-22,宁德时代,NA,CNY
263.06,266.56,261.18,264.1,26239071,300750.SZ,2024-11-25,宁德时代,NA,CNY
261.57,263.97,255.66,256.72,27360405,300750.SZ,2024-11-26,宁德时代,NA,CNY
254.7,260.9,251.47,259.9,27400665,300750.SZ,2024-11-27,宁德时代,NA,CNY
259.2,259.53,253.5,254.7,22355598,300750.SZ,2024-11-28,宁德时代,NA,CNY
251.23,267.99,251.23,261.24,31366272,300750.SZ,2024-11-29,宁德时代,NA,CNY
258.64,263.55,257.21,262.19,20647547,300750.SZ,2024-12-02,宁德时代,NA,CNY
261.0,262.99,259.0,261.84,17310789,300750.SZ,2024-12-03,宁德时代,NA,CNY
260.0,262.0,257.5,258.97,16181395,300750.SZ,2024-12-04,宁德时代,NA,CNY
257.99,258.95,255.01,256.0,16021580,300750.SZ,2024-12-05,宁德时代,NA,CNY
256.0,269.9,255.0,266.55,33038136,300750.SZ,2024-12-06,宁德时代,NA,CNY
266.99,269.66,264.41,268.05,22456090,300750.SZ,2024-12-09,宁德时代,NA,CNY
281.28,281.5,269.33,270.57,32904436,300750.SZ,2024-12-10,宁德时代,NA,CNY
273.96,279.5,266.52,267.1,19400821,300750.SZ,2024-12-11,宁德时代,NA,CNY
265.9,275.38,265.2,273.71,22329514,300750.SZ,2024-12-12,宁德时代,NA,CNY
269.88,272.0,266.0,267.03,28316441,300750.SZ,2024-12-13,宁德时代,NA,CNY
266.22,269.5,264.05,267.2,16257508,300750.SZ,2024-12-16,宁德时代,NA,CNY
267.0,278.0,266.54,273.8,28214610,300750.SZ,2024-12-17,宁德时代,NA,CNY
274.31,274.73,270.31,271.41,15085329,300750.SZ,2024-12-18,宁德时代,NA,CNY
269.26,272.35,266.62,269.79,15346018,300750.SZ,2024-12-19,宁德时代,NA,CNY
269.79,270.8,260.32,262.71,27740098,300750.SZ,2024-12-20,宁德时代,NA,CNY
262.71,268.88,262.71,263.5,20639383,300750.SZ,2024-12-23,宁德时代,NA,CNY
263.0,268.25,263.0,268.23,19615352,300750.SZ,2024-12-24,宁德时代,NA,CNY
268.91,270.91,266.26,267.97,11413810,300750.SZ,2024-12-25,宁德时代,NA,CNY
267.2,267.2,261.0,261.25,22443762,300750.SZ,2024-12-26,宁德时代,NA,CNY
260.57,263.42,255.0,262.0,24351918,300750.SZ,2024-12-27,宁德时代,NA,CNY
260.88,267.5,260.51,266.58,22631352,300750.SZ,2024-12-30,宁德时代,NA,CNY
265.09,270.5,265.09,266.0,24933952,300750.SZ,2024-12-31,宁德时代,NA,CNY
266.25,266.3,257.0,258.78,23354576,300750.SZ,2025-01-02,宁德时代,NA,CNY
258.78,263.0,257.21,257.63,18523758,300750.SZ,2025-01-03,宁德时代,NA,CNY
258.0,260.0,253.0,256.75,17289077,300750.SZ,2025-01-06,宁德时代,NA,CNY
243.0,252.0,241.08,249.45,40103599,300750.SZ,2025-01-07,宁德时代,NA,CNY
245.99,248.31,243.32,245.34,27185752,300750.SZ,2025-01-08,宁德时代,NA,CNY
241.35,250.25,241.16,247.33,16932878,300750.SZ,2025-01-09,宁德时代,NA,CNY
246.5,249.95,244.68,246.0,14729433,300750.SZ,2025-01-10,宁德时代,NA,CNY
243.5,250.0,242.0,246.91,18092226,300750.SZ,2025-01-13,宁德时代,NA,CNY
247.71,257.0,245.21,256.2,20246734,300750.SZ,2025-01-14,宁德时代,NA,CNY
256.2,256.4,249.67,250.87,15062665,300750.SZ,2025-01-15,宁德时代,NA,CNY
252.0,254.6,248.26,249.93,16188378,300750.SZ,2025-01-16,宁德时代,NA,CNY
248.5,253.5,248.08,251.5,11106600,300750.SZ,2025-01-17,宁德时代,NA,CNY
256.5,267.61,256.31,265.52,34283497,300750.SZ,2025-01-20,宁德时代,NA,CNY
268.5,268.76,263.22,264.18,13893306,300750.SZ,2025-01-21,宁德时代,NA,CNY
262.0,264.9,254.21,258.0,25040737,300750.SZ,2025-01-22,宁德时代,NA,CNY
259.85,262.5,256.98,257.5,16553688,300750.SZ,2025-01-23,宁德时代,NA,CNY
256.01,264.78,256.01,260.62,22439796,300750.SZ,2025-01-24,宁德时代,NA,CNY
260.63,262.97,257.0,257.0,17102637,300750.SZ,2025-01-27,宁德时代,NA,CNY
